1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52076,80,0,1361373218,0,0,0,0,0,1,0,0,0,0,28416,0.000028000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52076,80,239,1361373218,0,0,0,0,0,1,1,0,0,0,28416,0.000222000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52078,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52075,0,3131810735,0,0,0,0,0,1,0,0,0,0,30208,0.005482000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52077,0,2905006026,0,0,0,0,0,1,0,0,1,0,28960,0.005793000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52077,80,0,2778547472,0,0,0,0,0,1,0,0,0,0,28416,0.000093000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52077,80,239,2778547472,0,0,0,0,0,1,1,0,0,0,28416,0.000324000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52076,0,1026116702,0,0,0,0,0,1,0,0,0,0,30208,0.005317000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52079,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52078,0,142498409,0,0,0,0,0,1,0,0,1,0,28960,0.006080000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52078,80,0,3776713547,0,0,0,0,0,1,0,0,0,0,28416,0.000038000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52078,80,239,3776713547,0,0,0,0,0,1,1,0,0,0,28416,0.000161000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52080,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52077,0,2905006265,0,0,0,0,0,1,0,0,0,0,30208,0.005305000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52079,0,3397968766,0,0,0,0,0,1,0,0,1,0,28960,0.005995000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52079,80,0,875572388,0,0,0,0,0,1,0,0,0,0,28416,0.000040000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52079,80,239,875572388,0,0,0,0,0,1,1,0,0,0,28416,0.000345000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52078,0,142498648,0,0,0,0,0,1,0,0,0,0,30208,0.005612000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52081,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52080,0,2821527975,0,0,0,0,0,1,0,0,1,0,28960,0.005741000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52080,80,0,3871183617,0,0,0,0,0,1,0,0,0,0,28416,0.000038000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52080,80,239,3871183617,0,0,0,0,0,1,1,0,0,0,28416,0.000169000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52082,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52079,0,3397969005,0,0,0,0,0,1,0,0,0,0,30208,0.005596000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52081,0,3953161017,0,0,0,0,0,1,0,0,1,0,15928,0.005900000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52081,80,0,1705830295,0,0,0,0,0,1,0,0,0,0,28416,0.000039000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52081,80,239,1705830295,0,0,0,0,0,1,1,0,0,0,28416,0.000193000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52080,0,2821528214,0,0,0,0,0,1,0,0,0,0,30208,0.005495000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52083,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52082,0,3325686920,0,0,0,0,0,1,0,0,1,0,28960,0.005645000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52082,80,0,1331410633,0,0,0,0,0,1,0,0,0,0,28416,0.000023000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52082,80,239,1331410633,0,0,0,0,0,1,1,0,0,0,28416,0.000146000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52084,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52081,0,3953161256,0,0,0,0,0,1,0,0,0,0,17408,0.005451000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52083,0,312588863,0,0,0,0,0,1,0,0,1,0,15928,0.005877000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52083,80,0,1803878863,0,0,0,0,0,1,0,0,0,0,28416,0.000043000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52082,0,3325687159,0,0,0,0,0,1,0,0,0,0,30208,0.005317000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52083,80,239,1803878863,0,0,0,0,0,1,1,0,0,0,28416,0.000206000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52085,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52084,0,3558274514,0,0,0,0,0,1,0,0,1,0,28960,0.005910000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52084,80,0,783088408,0,0,0,0,0,1,0,0,0,0,28416,0.000023000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52084,80,239,783088408,0,0,0,0,0,1,1,0,0,0,28416,0.000142000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52086,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52087,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52083,0,312589102,0,0,0,0,0,1,0,0,0,0,17408,0.005441000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52085,0,2474586310,0,0,0,0,0,1,0,0,1,0,15928,0.005738000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52085,80,0,3813364155,0,0,0,0,0,1,0,0,0,0,28416,0.000028000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52085,80,239,3813364155,0,0,0,0,0,1,1,0,0,0,28416,0.000171000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52084,0,3558274753,0,0,0,0,0,1,0,0,0,0,30208,0.005506000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52088,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52086,0,2733817664,0,0,0,0,0,1,0,0,1,0,15928,0.005740000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52086,80,0,1170467791,0,0,0,0,0,1,0,0,0,0,28416,0.000034000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52086,80,239,1170467791,0,0,0,0,0,1,1,0,0,0,28416,0.000128000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52089,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52087,0,157041274,0,0,0,0,0,1,0,0,1,0,28960,0.005891000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52087,80,0,2428830917,0,0,0,0,0,1,0,0,0,0,28416,0.000102000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52087,80,239,2428830917,0,0,0,0,0,1,1,0,0,0,28416,0.000240000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52085,0,2474586549,0,0,0,0,0,1,0,0,0,0,17408,0.005277000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52088,0,1536331827,0,0,0,0,0,1,0,0,1,0,15928,0.005730000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52088,80,0,2290058047,0,0,0,0,0,1,0,0,0,0,28416,0.000025000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52088,80,239,2290058047,0,0,0,0,0,1,1,0,0,0,28416,0.000150000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52086,0,2733817903,0,0,0,0,0,1,0,0,0,0,15712,0.005546000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52091,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52090,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52089,0,1419771424,0,0,0,0,0,1,0,0,1,0,28960,0.005934000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52089,80,0,1536433067,0,0,0,0,0,1,0,0,0,0,28416,0.000019000
1,304,eth:ethertype:ip:udp,20,290,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52089,80,238,1536433067,0,0,0,0,0,1,1,0,0,0,28416,0.000125000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52092,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52087,0,157041513,0,0,0,0,0,1,0,0,0,0,30208,0.005593000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52088,0,1536332066,0,0,0,0,0,1,0,0,0,0,17408,0.005576000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52091,0,59328214,0,0,0,0,0,1,0,0,1,0,28960,0.005441000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52091,80,0,3682479532,0,0,0,0,0,1,0,0,0,0,28416,0.000036000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52091,80,239,3682479532,0,0,0,0,0,1,1,0,0,0,28416,0.000164000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52090,0,266307061,0,0,0,0,0,1,0,0,1,0,15928,0.005843000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52090,80,0,2333134032,0,0,0,0,0,1,0,0,0,0,28416,0.000019000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52089,0,1419771662,0,0,0,0,0,1,0,0,0,0,30208,0.005454000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52093,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52092,0,2121234135,0,0,0,0,0,1,0,0,1,0,15928,0.005543000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52092,80,0,1500113710,0,0,0,0,0,1,0,0,0,0,28416,0.000016000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52092,80,239,1500113710,0,0,0,0,0,1,1,0,0,0,28416,0.000141000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52094,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52091,0,59328453,0,0,0,0,0,1,0,0,0,0,30208,0.005123000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52090,80,239,2333134032,0,0,0,0,0,1,1,0,0,0,28416,0.004963000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52095,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52093,0,4275897980,0,0,0,0,0,1,0,0,1,0,28960,0.005870000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52093,80,0,2684818429,0,0,0,0,0,1,0,0,0,0,28416,0.000027000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52092,0,2121234374,0,0,0,0,0,1,0,0,0,0,17408,0.005361000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52093,80,239,2684818429,0,0,0,0,0,1,1,0,0,0,28416,0.000160000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52096,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52094,0,566248957,0,0,0,0,0,1,0,0,1,0,15928,0.006005000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52094,80,0,639699572,0,0,0,0,0,1,0,0,0,0,28416,0.000030000
1,303,eth:ethertype:ip:udp,20,289,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52094,80,237,639699572,0,0,0,0,0,1,1,0,0,0,28416,0.000145000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52097,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52090,0,266307300,0,0,0,0,0,1,0,0,0,0,17408,0.005512000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52095,0,3835734930,0,0,0,0,0,1,0,0,1,0,28960,0.005944000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52095,80,0,4045534191,0,0,0,0,0,1,0,0,0,0,28416,0.000032000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52095,80,239,4045534191,0,0,0,0,0,1,1,0,0,0,28416,0.000179000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52093,0,4275898219,0,0,0,0,0,1,0,0,0,0,30208,0.005463000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52098,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52096,0,2724951575,0,0,0,0,0,1,0,0,1,0,28960,0.005638000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52096,80,0,86015245,0,0,0,0,0,1,0,0,0,0,28416,0.000029000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52096,80,239,86015245,0,0,0,0,0,1,1,0,0,0,28416,0.000181000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52099,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52094,0,566249194,0,0,0,0,0,1,0,0,0,0,17408,0.005530000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52100,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52097,0,1158031891,0,0,0,0,0,1,0,0,1,0,15928,0.005556000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52097,80,0,1577930041,0,0,0,0,0,1,0,0,0,0,28416,0.000018000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52097,80,239,1577930041,0,0,0,0,0,1,1,0,0,0,28416,0.000224000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52101,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52095,0,3835735169,0,0,0,0,0,1,0,0,0,0,30208,0.005544000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52098,0,784308091,0,0,0,0,0,1,0,0,1,0,15928,0.005428000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52098,80,0,723226923,0,0,0,0,0,1,0,0,0,0,28416,0.000023000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52098,80,239,723226923,0,0,0,0,0,1,1,0,0,0,28416,0.000171000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52096,0,2724951814,0,0,0,0,0,1,0,0,0,0,30208,0.005392000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52102,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52099,0,2745215078,0,0,0,0,0,1,0,0,1,0,15928,0.005715000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52099,80,0,835497680,0,0,0,0,0,1,0,0,0,0,28416,0.000023000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52099,80,239,835497680,0,0,0,0,0,1,1,0,0,0,28416,0.000135000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52100,0,164286741,0,0,0,0,0,1,0,0,1,0,28960,0.005686000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52100,80,0,4080772387,0,0,0,0,0,1,0,0,0,0,28416,0.000021000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52097,0,1158032130,0,0,0,0,0,1,0,0,0,0,17408,0.005269000
1,304,eth:ethertype:ip:udp,20,290,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52100,80,238,4080772387,0,0,0,0,0,1,1,0,0,0,28416,0.000137000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52103,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52104,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52101,0,2156365314,0,0,0,0,0,1,0,0,1,0,15928,0.005809000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52101,80,0,394269037,0,0,0,0,0,1,0,0,0,0,28416,0.000024000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52101,80,239,394269037,0,0,0,0,0,1,1,0,0,0,28416,0.000161000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52105,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52098,0,784308330,0,0,0,0,0,1,0,0,0,0,15712,0.005188000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52102,0,1290475971,0,0,0,0,0,1,0,0,1,0,28960,0.005684000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52102,80,0,979737585,0,0,0,0,0,1,0,0,0,0,28416,0.000025000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52099,0,2745215317,0,0,0,0,0,1,0,0,0,0,17408,0.005532000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52100,0,164286979,0,0,0,0,0,1,0,0,0,0,30208,0.005515000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52103,0,1553964906,0,0,0,0,0,1,0,0,1,0,28960,0.005593000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52103,80,0,506671516,0,0,0,0,0,1,0,0,0,0,28416,0.000021000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52104,0,4033376847,0,0,0,0,0,1,0,0,1,0,15928,0.005479000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52104,80,0,255410533,0,0,0,0,0,1,0,0,0,0,28416,0.000013000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52103,80,239,506671516,0,0,0,0,0,1,1,0,0,0,28416,0.000186000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52106,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52102,80,239,979737585,0,0,0,0,0,1,1,0,0,0,28416,0.002002000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52101,0,2156365553,0,0,0,0,0,1,0,0,0,0,17408,0.005721000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52107,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
